startup_name,yfyi_batch,status,funding_usd,verticals,description,website,corporated,headquarter,founder_team,award,grant_amount_try,first_batch_year
SFM Software - Inovarium,2018,Active,,"Industry40, Business intelligence, SaaS",Cost estimation and process improvement solution,sfmyazilim.com,FALSE,ODTÜ TEKNOKENT,Ersan Turan,"Elginkan Vakf? Uluslararas?la?ma Ödülü, OSTİM Ödülü",15000,2018
AREYTech,2018,Active,,"Smart city, Climatetech, Energy, Internet of things",Energy management solutions,areylight.com,FALSE,Teknopark Ankara,Haluk Y?lmaz,KoçSistem Özel Ödülü,30000,2018
iCaked,2017,Out of Business,70000,Meal delivery,Online cake design and order service,icaked.com,FALSE,,Kadem Berker Ya?ar,"Btech Prototipleme Özel Ödülü, Onedio Reklam Deste?i Özel Ödülü",,2017
Comind AI,2017,Out of Business,20000,"Deeptech, Artificial intelligence",Machine intelligence technologies,comind.ai,FALSE,,Ahmet Üstün,Onedio Reklam Deste?i Özel Ödülü,,2017
Seyisco,2017,Out of Business,20000,"Deeptech, Mobility, Autotech, Artificial intelligence",Smart pothole detection,seyis.co,FALSE,,"Ali Cagatay Kuru, Bar?? Kaya","KoçSistem Özel Ödülü, Elginkan Vakf? Uluslararasla?ma Ödülü, Growth Circuit’tan Yat?r?m Alan Giri?imler",,2017
Trendoline,2017,Out of Business,20000,"Content, Social network",Daily and weekly trend topics and challanges,trendoline.com,FALSE,,Ashkan Alizadeh,,,2017
Drive Buddy,2017,Exit,,Autotech,It detects car accident automatically by using sensors on the phone,drivebuddyapp.com,FALSE,,"Emre Yi?it Alparslan, Esref Ozturk",,,2017
Restearn,2017,Out of Business,,"Retailtech, Marketingtech",Customer loyalty and marketing platform for retail businesses that value data-driven growth,restearn.com,FALSE,,"Mertcan Gül, Bar?? Dönmez, Said Yüce",Halk Oylamas? Ödülü,,2017
Peerket,2017,Out of Business,,SaaS,Social booking platform where users can schedule sports activities,peerket.com,FALSE,,Ahmet Murat Dursun,Onedio Reklam Deste?i Özel Ödülü,,2017
IMERA,2017,Out of Business,,"Smart city, Energy",Smart street lighting,imeraelectronics.com,FALSE,,"Gökçe Ak, Mehmet As?m Özcan",,,2017
Niceveri,2017,Out of Business,,"Internet of things, Industry40",Forklift tracking system,niceveri.com,FALSE,,Talha I??k,,,2017
MASA,2017,Out of Business,,Internet of things,"An integrated MEMS sensor that can be installed on cables carrying a single phase for power line safety applications, measuring the current flowing through the cable and the voltage of the cable relative to ground or other phases without contact",,FALSE,,K?vanç Azg?n,,,2017
Bzzify Yazılım,2017,Out of Business,,Healthtech,"A smartphone-based system that helps physicians examine and diagnose chronic wounds, redness, allergies, etc. on the skin and facilitates remote and temporal monitoring",,FALSE,,"Arif Usta, Hulda R?fat Özakp?nar, ?smail Tahir Kökten, Yusuf O?uzhan Artan",,,2017
Evreka,2017,Active,4545126,"Smart city, Internet of things, Cleantech, SaaS",Smart garbage collection with sensors detecting fullness,evreka.co,FALSE,ODTÜ TEKNOKENT,"Berkay Akçora, Umutcan Duman, Mert Barutçu, Mehmet Pancaro?lu",,,2017
Mikro Biyosistemler - Cellsway,2017,Active,4110000,"Biotech, Deeptech",Develops a liquid biopsy platform-isolation and enumeration of Circulating Tumor Cells (CTCs) from blood to enable cancer monitoring,cellsway.com,FALSE,ODTÜ TEKNOKENT,"Haluk Külah, Ebru Özgür, Özge Zorlu","IE Business School Özel Ödülü, ASO Ödülü",,2017
Gauss İstatistik Ar-Ge - ENHENCER,2017,Active,1890000,"Big data, Agency",Statistical solutions for firms,gauss.com.tr,FALSE,ODTÜ TEKNOKENT,"Bar?? Sürücü, Damla Dokuzo?lu, Serkan O?uz, O?uz Atuk, Olcay Öztürk",,,2017
Mavilab Yazılım (Cybellelaser),2017,Active,800000,Healthtech,Laser epilation device manufacturer,cybellemedical.com,FALSE,İstanbul,"Mustafa Kemal ??en, Sinan Gündo?du",,,2017
3D3 Teknoloji,2017,Active,120000,"3D Printing, Industry40","3D printer manufacturer, additive manufacture technology developer",3d3teknoloji.com,FALSE,Ankara,"H. Berk Giray, Tolga Giray","IE Business School Özel Ödülü, OSTİM Ödülü",,2017
